product_id,pair_id,product_name,category,subcategory,brand,gender_target,price,size,normalized_price_per_unit,retailer,description,ingredients
P00006_M,PAIR00006,Gillette Shaving Foam - Men - 50ml,Shaving,Shaving Foam,Gillette,Men,586.2,50.0,586.2,HealthKart,Advanced formula Shaving Foam by Gillette for long-lasting performance.,
P00006_F,PAIR00006,Gillette Shaving Foam - Women - 50ml,Shaving,Shaving Foam,Gillette,Women,587.85,50.0,587.85,HealthKart,Gillette presents a gentle Shaving Foam with enriched ingredients.,
P00007_M,PAIR00007,Sensodyne Toothpaste - Men - 50ml,Hygiene,Toothpaste,Sensodyne,Men,137.15,50.0,137.15,Amazon.in,Sensodyne presents a gentle Toothpaste with enriched ingredients.,"Glycerin, Niacinamide, Chamomile Extract, Fragrance, Water, Sodium Chloride"
P00007_F,PAIR00007,Sensodyne Toothpaste - Women - 50ml,Hygiene,Toothpaste,Sensodyne,Women,340.98,50.0,340.98,HealthKart,Advanced formula Toothpaste by Sensodyne for long-lasting performance.,"Retinol, Keratin, Salicylic Acid"
P00008_M,PAIR00008,L'Oréal Conditioner - Men - 200ml,Personal Care,Conditioner,L'Oréal,Men,841.28,200.0,841.28,RelianceDigital,Lightweight Conditioner from L'Oréal — dermatologist tested.,"Dimethicone, Salicylic Acid, Glycerin, Shea Butter, Coconut Oil, Water"
P00008_F,PAIR00008,L'Oréal Conditioner - Women - 200ml,Personal Care,Conditioner,L'Oréal,Women,983.47,200.0,983.47,RelianceDigital,Lightweight Conditioner from L'Oréal — dermatologist tested.,"Dimethicone, Salicylic Acid, Glycerin, Shea Butter, Coconut Oil, Water"
P00009_M,PAIR00009,HealthKart Supplements - Men - 100,Personal Care,Supplements,Healthkart,Men,1988.99,100.0,1988.99,Myntra,HealthKart presents a gentle Supplements with enriched ingredients.,"Tea Tree Oil, Glycerin, Keratin, Dimethicone"
P00009_F,PAIR00009,HealthKart Supplements - Women - 100,Personal Care,Supplements,Healthkart,Women,2229.21,100.0,2229.21,Myntra,HealthKart presents a gentle Supplements with enriched ingredients.,"Tea Tree Oil, Glycerin, Keratin, Dimethicone"
P00010_M,PAIR00010,Dettol Handwash - Men - 200,Hygiene,Handwash,Dettol,Men,84.36,200.0,84.36,RelianceDigital,Dettol Handwash for everyday use — nourishes and protects.,"Cetyl Alcohol, Salicylic Acid, Retinol"
P00010_F,PAIR00010,Dettol Handwash - Women - 200,Hygiene,Handwash,Dettol,Women,171.42,200.0,171.42,PharmEasy,Advanced formula Handwash by Dettol for long-lasting performance.,"Sodium Chloride, Chamomile Extract, Retinol"
P00011_M,PAIR00011,Colgate Toothpaste - Men - 200ml,Hygiene,Toothpaste,Colgate,Men,103.59,200.0,103.59,Amazon.in,Lightweight Toothpaste from Colgate — dermatologist tested.,"Vitamin E, Shea Butter, Paraben, Retinol, Coconut Oil"
P00011_F,PAIR00011,Colgate Toothpaste - Women - 200ml,Hygiene,Toothpaste,Colgate,Women,289.54,200.0,289.54,RelianceDigital,Colgate presents a gentle Toothpaste with enriched ingredients.,"Aloe Vera, Cetyl Alcohol, Keratin, Dimethicone, Retinol, Cocamidopropyl Betaine"
P00012_M,PAIR00012,Forest Essentials Body Oil - Men - 650,Personal Care,Body Oil,Forest Essentials,Men,649.51,650.0,649.51,Croma,Lightweight Body Oil from Forest Essentials — dermatologist tested.,"Keratin, Chamomile Extract, Coconut Oil, Cocamidopropyl Betaine"
P00012_F,PAIR00012,Forest Essentials Body Oil - Women - 650,Personal Care,Body Oil,Forest Essentials,Women,817.75,650.0,817.75,Croma,Lightweight Body Oil from Forest Essentials — dermatologist tested.,"Keratin, Chamomile Extract, Coconut Oil, Cocamidopropyl Betaine"
P00013_M,PAIR00013,Nike T-Shirt - Men - S,Clothing,T-Shirt,Nike,Men,1765.84,1.0,1765.84,Croma,Lightweight T-Shirt from Nike — dermatologist tested.,
P00013_F,PAIR00013,Nike T-Shirt - Women - S,Clothing,T-Shirt,Nike,Women,1347.37,1.0,1347.37,Croma,Nike T-Shirt for everyday use — nourishes and protects.,
P00014_M,PAIR00014,Gillette Shaving Foam - Men - 250ml,Shaving,Shaving Foam,Gillette,Men,502.96,250.0,502.96,BigBasket,Gillette presents a gentle Shaving Foam with enriched ingredients.,
P00014_F,PAIR00014,Gillette Shaving Foam - Women - 250ml,Shaving,Shaving Foam,Gillette,Women,618.73,250.0,618.73,Ajio,Advanced formula Shaving Foam by Gillette for long-lasting performance.,
P00015_M,PAIR00015,Garnier Moisturizer - Men - 50ml,Personal Care,Moisturizer,Garnier,Men,208.08,50.0,208.08,HealthKart,Lightweight Moisturizer from Garnier — dermatologist tested.,"Water, Panthenol, Dimethicone, Chamomile Extract, Cetyl Alcohol"
P00015_F,PAIR00015,Garnier Moisturizer - Women - 50ml,Personal Care,Moisturizer,Garnier,Women,1952.24,50.0,1952.24,Amazon.in,Garnier Moisturizer for everyday use — nourishes and protects.,"Sodium Chloride, Aloe Vera, Keratin, Vitamin E, Retinol, Shea Butter"
P00016_M,PAIR00016,L'Oréal Conditioner - Men - 400ml,Personal Care,Conditioner,L'Oréal,Men,276.79,400.0,276.79,BigBasket,Lightweight Conditioner from L'Oréal — dermatologist tested.,"Vitamin E, Keratin, Salicylic Acid, Dimethicone, Cocamidopropyl Betaine"
P00016_F,PAIR00016,L'Oréal Conditioner - Women - 400ml,Personal Care,Conditioner,L'Oréal,Women,1063.08,400.0,1063.08,HealthKart,Lightweight Conditioner from L'Oréal — dermatologist tested.,"Panthenol, Cetyl Alcohol, Aloe Vera, Retinol"
P00017_M,PAIR00017,Colgate Toothpaste - Men - 50ml,Hygiene,Toothpaste,Colgate,Men,300.01,50.0,300.01,Myntra,Colgate Toothpaste for everyday use — nourishes and protects.,"Salicylic Acid, Fragrance, Coconut Oil, Dimethicone, Water"
P00017_F,PAIR00017,Colgate Toothpaste - Women - 50ml,Hygiene,Toothpaste,Colgate,Women,240.75,50.0,240.75,Nykaa,Advanced formula Toothpaste by Colgate for long-lasting performance.,"Dimethicone, Panthenol, Chamomile Extract, Coconut Oil"
P00018_M,PAIR00018,Ponds Moisturizer - Men - 50ml,Personal Care,Moisturizer,Ponds,Men,458.27,50.0,458.27,Flipkart,Ponds presents a gentle Moisturizer with enriched ingredients.,"Salicylic Acid, Glycerin, Vitamin E"
P00018_F,PAIR00018,Ponds Moisturizer - Women - 50ml,Personal Care,Moisturizer,Ponds,Women,2902.79,50.0,2902.79,Nykaa,Advanced formula Moisturizer by Ponds for long-lasting performance.,"Vitamin E, Cocamidopropyl Betaine, Dimethicone, Coconut Oil, Retinol"
P00019_M,PAIR00019,Olay Conditioner - Men - 100ml,Personal Care,Conditioner,Olay,Men,689.37,100.0,689.37,Myntra,Olay presents a gentle Conditioner with enriched ingredients.,"Chamomile Extract, Retinol, Sodium Chloride"
P00019_F,PAIR00019,Olay Conditioner - Women - 100ml,Personal Care,Conditioner,Olay,Women,837.71,100.0,837.71,PharmEasy,Lightweight Conditioner from Olay — dermatologist tested.,"Aloe Vera, Dimethicone, Retinol, Sodium Chloride"
P00020_M,PAIR00020,Nivea Moisturizer - Men - 150ml,Personal Care,Moisturizer,Nivea,Men,167.03,150.0,167.03,Flipkart,Lightweight Moisturizer from Nivea — dermatologist tested.,"Cocamidopropyl Betaine, Dimethicone, Keratin, Sodium Laureth Sulfate"
P00020_F,PAIR00020,Nivea Moisturizer - Women - 150ml,Personal Care,Moisturizer,Nivea,Women,421.89,150.0,421.89,BigBasket,Lightweight Moisturizer from Nivea — dermatologist tested.,"Chamomile Extract, Dimethicone, Panthenol, Sodium Chloride, Vitamin E"
P00021_M,PAIR00021,Uniqlo Hoodie - Men - S,Clothing,Hoodie,Uniqlo,Men,3323.03,1.0,3323.03,Nykaa,Uniqlo presents a gentle Hoodie with enriched ingredients.,
P00021_F,PAIR00021,Uniqlo Hoodie - Women - S,Clothing,Hoodie,Uniqlo,Women,3504.69,1.0,3504.69,Nykaa,Uniqlo presents a gentle Hoodie with enriched ingredients.,
P00022_M,PAIR00022,Dove Face Wash - Men - 100ml,Personal Care,Face Wash,Dove,Men,276.43,100.0,276.43,RelianceDigital,Dove presents a gentle Face Wash with enriched ingredients.,"Chamomile Extract, Fragrance, Sodium Laureth Sulfate, Niacinamide, Aloe Vera, Sodium Chloride"
P00022_F,PAIR00022,Dove Face Wash - Women - 100ml,Personal Care,Face Wash,Dove,Women,718.86,100.0,718.86,Croma,Advanced formula Face Wash by Dove for long-lasting performance.,"Aloe Vera, Chamomile Extract, Tea Tree Oil"
P00023_M,PAIR00023,Himalaya Face Wash - Men - 100ml,Personal Care,Face Wash,Himalaya,Men,374.83,100.0,374.83,Croma,Himalaya Face Wash for everyday use — nourishes and protects.,"Retinol, Panthenol, Cetyl Alcohol"
P00023_F,PAIR00023,Himalaya Face Wash - Women - 100ml,Personal Care,Face Wash,Himalaya,Women,401.67,100.0,401.67,Flipkart,Himalaya Face Wash for everyday use — nourishes and protects.,"Aloe Vera, Keratin, Salicylic Acid"
P00024_M,PAIR00024,Garnier Moisturizer - Men - 100ml,Personal Care,Moisturizer,Garnier,Men,2282.37,100.0,2282.37,Flipkart,Garnier Moisturizer for everyday use — nourishes and protects.,"Glycerin, Tea Tree Oil, Dimethicone, Cetyl Alcohol, Niacinamide"
P00024_F,PAIR00024,Garnier Moisturizer - Women - 100ml,Personal Care,Moisturizer,Garnier,Women,2531.75,100.0,2531.75,Flipkart,Garnier Moisturizer for everyday use — nourishes and protects.,"Glycerin, Tea Tree Oil, Dimethicone, Cetyl Alcohol, Niacinamide"
P00025_M,PAIR00025,Puma Socks - Men - 1,Clothing,Socks,Puma,Men,359.24,1.0,359.24,Myntra,Puma presents a gentle Socks with enriched ingredients.,
P00025_F,PAIR00025,Puma Socks - Women - 1,Clothing,Socks,Puma,Women,302.5,1.0,302.5,Croma,Lightweight Socks from Puma — dermatologist tested.,
P00026_M,PAIR00026,Dove Soap - Men - 150ml,Personal Care,Soap,Dove,Men,164.38,150.0,164.38,PharmEasy,Dove presents a gentle Soap with enriched ingredients.,"Water, Cocamidopropyl Betaine, Niacinamide, Fragrance"
P00026_F,PAIR00026,Dove Soap - Women - 150ml,Personal Care,Soap,Dove,Women,201.17,150.0,201.17,PharmEasy,Dove presents a gentle Soap with enriched ingredients.,"Water, Cocamidopropyl Betaine, Niacinamide, Fragrance"
P00027_M,PAIR00027,Olay Conditioner - Men - 400ml,Personal Care,Conditioner,Olay,Men,682.09,400.0,682.09,PharmEasy,Olay Conditioner for everyday use — nourishes and protects.,"Dimethicone, Shea Butter, Sodium Chloride, Keratin, Chamomile Extract, Water"
P00027_F,PAIR00027,Olay Conditioner - Women - 400ml,Personal Care,Conditioner,Olay,Women,496.99,400.0,496.99,Myntra,Advanced formula Conditioner by Olay for long-lasting performance.,"Glycerin, Panthenol, Aloe Vera, Paraben, Coconut Oil, Water"
P00028_M,PAIR00028,Dettol Handwash - Men - 500,Hygiene,Handwash,Dettol,Men,502.25,500.0,502.25,Croma,Lightweight Handwash from Dettol — dermatologist tested.,"Niacinamide, Fragrance, Retinol, Sodium Laureth Sulfate"
P00028_F,PAIR00028,Dettol Handwash - Women - 500,Hygiene,Handwash,Dettol,Women,462.36,500.0,462.36,Ajio,Dettol Handwash for everyday use — nourishes and protects.,"Glycerin, Coconut Oil, Vitamin E, Panthenol"
P00029_M,PAIR00029,Reebok T-Shirt - Men - S,Clothing,T-Shirt,Reebok,Men,1304.56,1.0,1304.56,Croma,Reebok presents a gentle T-Shirt with enriched ingredients.,
P00029_F,PAIR00029,Reebok T-Shirt - Women - S,Clothing,T-Shirt,Reebok,Women,1487.09,1.0,1487.09,Croma,Reebok presents a gentle T-Shirt with enriched ingredients.,
P00030_M,PAIR00030,Neutrogena Face Wash - Men - 50ml,Personal Care,Face Wash,Neutrogena,Men,505.53,50.0,505.53,Myntra,Advanced formula Face Wash by Neutrogena for long-lasting performance.,"Dimethicone, Water, Paraben, Chamomile Extract"
P00030_F,PAIR00030,Neutrogena Face Wash - Women - 50ml,Personal Care,Face Wash,Neutrogena,Women,783.39,50.0,783.39,Amazon.in,Lightweight Face Wash from Neutrogena — dermatologist tested.,"Fragrance, Chamomile Extract, Paraben, Sodium Chloride, Sodium Laureth Sulfate, Aloe Vera"
P00031_M,PAIR00031,Garnier Conditioner - Men - 200ml,Personal Care,Conditioner,Garnier,Men,551.76,200.0,551.76,HealthKart,Garnier presents a gentle Conditioner with enriched ingredients.,"Chamomile Extract, Fragrance, Salicylic Acid, Sodium Chloride"
P00031_F,PAIR00031,Garnier Conditioner - Women - 200ml,Personal Care,Conditioner,Garnier,Women,704.12,200.0,704.12,HealthKart,Garnier presents a gentle Conditioner with enriched ingredients.,"Chamomile Extract, Fragrance, Salicylic Acid, Sodium Chloride"
P00032_M,PAIR00032,Himalaya Soap - Men - 75ml,Personal Care,Soap,Himalaya,Men,44.22,75.0,44.22,Croma,Himalaya Soap for everyday use — nourishes and protects.,"Aloe Vera, Chamomile Extract, Cetyl Alcohol, Coconut Oil"
P00032_F,PAIR00032,Himalaya Soap - Women - 75ml,Personal Care,Soap,Himalaya,Women,47.4,75.0,47.4,Croma,Himalaya Soap for everyday use — nourishes and protects.,"Aloe Vera, Chamomile Extract, Cetyl Alcohol, Coconut Oil"
P00033_M,PAIR00033,Gillette Razor - Men - 3,Shaving,Razor,Gillette,Men,1150.56,3.0,1150.56,Nykaa,Gillette Razor for everyday use — nourishes and protects.,
P00033_F,PAIR00033,Gillette Razor - Women - 3,Shaving,Razor,Gillette,Women,208.46,3.0,208.46,HealthKart,Advanced formula Razor by Gillette for long-lasting performance.,
P00034_M,PAIR00034,Gillette Shaving Foam - Men - 150ml,Shaving,Shaving Foam,Gillette,Men,540.18,150.0,540.18,Amazon.in,Lightweight Shaving Foam from Gillette — dermatologist tested.,
P00034_F,PAIR00034,Gillette Shaving Foam - Women - 150ml,Shaving,Shaving Foam,Gillette,Women,135.7,150.0,135.7,Croma,Lightweight Shaving Foam from Gillette — dermatologist tested.,
P00035_M,PAIR00035,Garnier Moisturizer - Men - 150ml,Personal Care,Moisturizer,Garnier,Men,2022.18,150.0,2022.18,PharmEasy,Lightweight Moisturizer from Garnier — dermatologist tested.,"Chamomile Extract, Coconut Oil, Cetyl Alcohol, Paraben"
P00035_F,PAIR00035,Garnier Moisturizer - Women - 150ml,Personal Care,Moisturizer,Garnier,Women,1229.03,150.0,1229.03,BigBasket,Garnier presents a gentle Moisturizer with enriched ingredients.,"Glycerin, Tea Tree Oil, Cetyl Alcohol, Paraben"
P00036_M,PAIR00036,Himalaya Wellness Pain Relief - Men - 10,Health,Pain Relief,Himalaya,Men,471.47,10.0,471.47,Nykaa,Himalaya Wellness Pain Relief for everyday use — nourishes and protects.,
P00036_F,PAIR00036,Himalaya Wellness Pain Relief - Women - 10,Health,Pain Relief,Himalaya,Women,261.16,10.0,261.16,HealthKart,Himalaya Wellness Pain Relief for everyday use — nourishes and protects.,
P00037_M,PAIR00037,Sensodyne Toothpaste - Men - 200ml,Hygiene,Toothpaste,Sensodyne,Men,406.73,200.0,406.73,Croma,Sensodyne Toothpaste for everyday use — nourishes and protects.,"Water, Tea Tree Oil, Shea Butter, Sodium Chloride"
P00037_F,PAIR00037,Sensodyne Toothpaste - Women - 200ml,Hygiene,Toothpaste,Sensodyne,Women,234.07,200.0,234.07,BigBasket,Sensodyne Toothpaste for everyday use — nourishes and protects.,"Water, Niacinamide, Sodium Laureth Sulfate, Keratin, Chamomile Extract"
P00038_M,PAIR00038,Nivea Moisturizer - Men - 50ml,Personal Care,Moisturizer,Nivea,Men,1512.51,50.0,1512.51,Ajio,Lightweight Moisturizer from Nivea — dermatologist tested.,"Aloe Vera, Panthenol, Water, Keratin, Sodium Chloride"
P00038_F,PAIR00038,Nivea Moisturizer - Women - 50ml,Personal Care,Moisturizer,Nivea,Women,2009.12,50.0,2009.12,Croma,Nivea Moisturizer for everyday use — nourishes and protects.,"Shea Butter, Sodium Laureth Sulfate, Panthenol, Cocamidopropyl Betaine"
P00039_M,PAIR00039,Levi's T-Shirt - Men - L,Clothing,T-Shirt,Levi'S,Men,2369.82,1.0,2369.82,RelianceDigital,Levi's T-Shirt for everyday use — nourishes and protects.,
P00039_F,PAIR00039,Levi's T-Shirt - Women - L,Clothing,T-Shirt,Levi'S,Women,1969.27,1.0,1969.27,BigBasket,Advanced formula T-Shirt by Levi's for long-lasting performance.,
P00040_M,PAIR00040,L'Oréal Shampoo - Men - 650ml,Personal Care,Shampoo,L'Oréal,Men,204.98,650.0,204.98,Ajio,L'Oréal presents a gentle Shampoo with enriched ingredients.,"Coconut Oil, Salicylic Acid, Vitamin E"
P00040_F,PAIR00040,L'Oréal Shampoo - Women - 650ml,Personal Care,Shampoo,L'Oréal,Women,853.73,650.0,853.73,HealthKart,Lightweight Shampoo from L'Oréal — dermatologist tested.,"Cetyl Alcohol, Water, Cocamidopropyl Betaine"
P00041_M,PAIR00041,Nivea Soap - Men - 150ml,Personal Care,Soap,Nivea,Men,141.52,150.0,141.52,Ajio,Advanced formula Soap by Nivea for long-lasting performance.,"Paraben, Tea Tree Oil, Coconut Oil, Dimethicone, Glycerin"
P00041_F,PAIR00041,Nivea Soap - Women - 150ml,Personal Care,Soap,Nivea,Women,257.84,150.0,257.84,Flipkart,Lightweight Soap from Nivea — dermatologist tested.,"Niacinamide, Water, Shea Butter, Cetyl Alcohol, Coconut Oil, Keratin"
P00042_M,PAIR00042,Gillette Razor - Men - 1,Shaving,Razor,Gillette,Men,785.25,1.0,785.25,Myntra,Gillette Razor for everyday use — nourishes and protects.,
P00042_F,PAIR00042,Gillette Razor - Women - 1,Shaving,Razor,Gillette,Women,928.47,1.0,928.47,HealthKart,Gillette presents a gentle Razor with enriched ingredients.,
P00043_M,PAIR00043,Mamaearth Moisturizer - Men - 100ml,Personal Care,Moisturizer,Mamaearth,Men,1254.33,100.0,1254.33,Amazon.in,Lightweight Moisturizer from Mamaearth — dermatologist tested.,"Shea Butter, Glycerin, Keratin, Dimethicone"
P00043_F,PAIR00043,Mamaearth Moisturizer - Women - 100ml,Personal Care,Moisturizer,Mamaearth,Women,1383.5,100.0,1383.5,Amazon.in,Lightweight Moisturizer from Mamaearth — dermatologist tested.,"Shea Butter, Glycerin, Keratin, Dimethicone"
P00044_M,PAIR00044,Adidas T-Shirt - Men - L,Clothing,T-Shirt,Adidas,Men,2155.38,1.0,2155.38,HealthKart,Advanced formula T-Shirt by Adidas for long-lasting performance.,
P00044_F,PAIR00044,Adidas T-Shirt - Women - L,Clothing,T-Shirt,Adidas,Women,1510.68,1.0,1510.68,PharmEasy,Adidas presents a gentle T-Shirt with enriched ingredients.,
P00045_M,PAIR00045,Neutrogena Sunscreen - Men - 200,Personal Care,Sunscreen,Neutrogena,Men,309.91,200.0,309.91,Myntra,Advanced formula Sunscreen by Neutrogena for long-lasting performance.,"Water, Niacinamide, Panthenol, Tea Tree Oil, Cocamidopropyl Betaine"
P00045_F,PAIR00045,Neutrogena Sunscreen - Women - 200,Personal Care,Sunscreen,Neutrogena,Women,671.85,200.0,671.85,RelianceDigital,Neutrogena Sunscreen for everyday use — nourishes and protects.,"Salicylic Acid, Vitamin E, Coconut Oil, Niacinamide, Panthenol"
P00046_M,PAIR00046,Olay Face Wash - Men - 150ml,Personal Care,Face Wash,Olay,Men,310.08,150.0,310.08,PharmEasy,Lightweight Face Wash from Olay — dermatologist tested.,"Retinol, Tea Tree Oil, Keratin, Niacinamide, Water"
P00046_F,PAIR00046,Olay Face Wash - Women - 150ml,Personal Care,Face Wash,Olay,Women,122.01,150.0,122.01,BigBasket,Lightweight Face Wash from Olay — dermatologist tested.,"Sodium Laureth Sulfate, Salicylic Acid, Glycerin, Shea Butter, Panthenol, Paraben"
P00047_M,PAIR00047,Olay Face Wash - Men - 50ml,Personal Care,Face Wash,Olay,Men,366.16,50.0,366.16,PharmEasy,Olay presents a gentle Face Wash with enriched ingredients.,"Vitamin E, Chamomile Extract, Glycerin, Retinol, Keratin"
P00047_F,PAIR00047,Olay Face Wash - Women - 50ml,Personal Care,Face Wash,Olay,Women,826.9,50.0,826.9,RelianceDigital,Olay Face Wash for everyday use — nourishes and protects.,"Keratin, Water, Cocamidopropyl Betaine, Retinol, Sodium Laureth Sulfate"
P00048_M,PAIR00048,Levi's T-Shirt - Men - XL,Clothing,T-Shirt,Levi'S,Men,2110.46,1.0,2110.46,HealthKart,Levi's presents a gentle T-Shirt with enriched ingredients.,
P00048_F,PAIR00048,Levi's T-Shirt - Women - XL,Clothing,T-Shirt,Levi'S,Women,2054.66,1.0,2054.66,PharmEasy,Lightweight T-Shirt from Levi's — dermatologist tested.,
P00049_M,PAIR00049,Forest Essentials Face Wash - Men - 150ml,Personal Care,Face Wash,Forest Essentials,Men,479.1,150.0,479.1,Nykaa,Advanced formula Face Wash by Forest Essentials for long-lasting performance.,"Dimethicone, Retinol, Shea Butter, Coconut Oil"
P00049_F,PAIR00049,Forest Essentials Face Wash - Women - 150ml,Personal Care,Face Wash,Forest Essentials,Women,839.08,150.0,839.08,Ajio,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Chamomile Extract, Paraben, Sodium Laureth Sulfate, Fragrance, Cetyl Alcohol, Retinol"
P00050_M,PAIR00050,Forest Essentials Face Wash - Men - 100ml,Personal Care,Face Wash,Forest Essentials,Men,295.69,100.0,295.69,Myntra,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Shea Butter, Paraben, Sodium Laureth Sulfate, Tea Tree Oil, Keratin"
P00050_F,PAIR00050,Forest Essentials Face Wash - Women - 100ml,Personal Care,Face Wash,Forest Essentials,Women,423.76,100.0,423.76,Croma,Forest Essentials Face Wash for everyday use — nourishes and protects.,"Aloe Vera, Paraben, Coconut Oil, Shea Butter, Water, Chamomile Extract"
P00051_M,PAIR00051,Nike Hoodie - Men - L,Clothing,Hoodie,Nike,Men,2254.38,1.0,2254.38,BigBasket,Lightweight Hoodie from Nike — dermatologist tested.,
P00051_F,PAIR00051,Nike Hoodie - Women - L,Clothing,Hoodie,Nike,Women,1565.54,1.0,1565.54,Amazon.in,Nike presents a gentle Hoodie with enriched ingredients.,
P00052_M,PAIR00052,Nivea Lotion - Men - 100ml,Personal Care,Lotion,Nivea,Men,566.99,100.0,566.99,Croma,Advanced formula Lotion by Nivea for long-lasting performance.,"Sodium Chloride, Shea Butter, Salicylic Acid"
P00052_F,PAIR00052,Nivea Lotion - Women - 100ml,Personal Care,Lotion,Nivea,Women,391.57,100.0,391.57,Croma,Nivea Lotion for everyday use — nourishes and protects.,"Chamomile Extract, Tea Tree Oil, Retinol, Shea Butter"
P00053_M,PAIR00053,Forest Essentials Moisturizer - Men - 150ml,Personal Care,Moisturizer,Forest Essentials,Men,2069.35,150.0,2069.35,PharmEasy,Advanced formula Moisturizer by Forest Essentials for long-lasting performance.,"Aloe Vera, Fragrance, Cocamidopropyl Betaine, Vitamin E, Panthenol"
P00053_F,PAIR00053,Forest Essentials Moisturizer - Women - 150ml,Personal Care,Moisturizer,Forest Essentials,Women,187.12,150.0,187.12,BigBasket,Forest Essentials Moisturizer for everyday use — nourishes and protects.,"Salicylic Acid, Vitamin E, Tea Tree Oil"
P00054_M,PAIR00054,Nivea Face Wash - Men - 50ml,Personal Care,Face Wash,Nivea,Men,766.4,50.0,766.4,Nykaa,Advanced formula Face Wash by Nivea for long-lasting performance.,"Retinol, Water, Aloe Vera, Cocamidopropyl Betaine"
P00054_F,PAIR00054,Nivea Face Wash - Women - 50ml,Personal Care,Face Wash,Nivea,Women,103.17,50.0,103.17,RelianceDigital,Nivea Face Wash for everyday use — nourishes and protects.,"Panthenol, Retinol, Shea Butter, Water, Tea Tree Oil, Sodium Chloride"
P00055_M,PAIR00055,Puma T-Shirt - Men - XL,Clothing,T-Shirt,Puma,Men,1110.17,1.0,1110.17,Myntra,Puma presents a gentle T-Shirt with enriched ingredients.,
P00055_F,PAIR00055,Puma T-Shirt - Women - XL,Clothing,T-Shirt,Puma,Women,676.2,1.0,676.2,Nykaa,Lightweight T-Shirt from Puma — dermatologist tested.,
P00056_M,PAIR00056,Uniqlo Socks - Men - 3,Clothing,Socks,Uniqlo,Men,469.03,3.0,469.03,Flipkart,Uniqlo presents a gentle Socks with enriched ingredients.,
P00056_F,PAIR00056,Uniqlo Socks - Women - 3,Clothing,Socks,Uniqlo,Women,494.39,3.0,494.39,Croma,Lightweight Socks from Uniqlo — dermatologist tested.,
P00057_M,PAIR00057,Dettol Soap - Men - 100ml,Personal Care,Soap,Dettol,Men,220.17,100.0,220.17,Myntra,Advanced formula Soap by Dettol for long-lasting performance.,"Retinol, Coconut Oil, Dimethicone, Sodium Chloride, Niacinamide"
P00057_F,PAIR00057,Dettol Soap - Women - 100ml,Personal Care,Soap,Dettol,Women,201.32,100.0,201.32,Nykaa,Dettol presents a gentle Soap with enriched ingredients.,"Salicylic Acid, Sodium Chloride, Aloe Vera, Niacinamide"
P00058_M,PAIR00058,Adidas Socks - Men - 3,Clothing,Socks,Adidas,Men,248.52,3.0,248.52,Croma,Adidas presents a gentle Socks with enriched ingredients.,
P00058_F,PAIR00058,Adidas Socks - Women - 3,Clothing,Socks,Adidas,Women,112.53,3.0,112.53,Myntra,Lightweight Socks from Adidas — dermatologist tested.,
